Date,World,Transaction,Change,NewPremiumPoints,MoreInformation
"Jan 17, 2026 21:56","World 153","Points redeemed",-30,3743,"Reduce the construction cost -  - Timber camp (level 26)"
"Jan 17, 2026 21:52","World 153","Points redeemed",-30,3773,"Loot Assistant 30"
"Jan 17, 2026 21:52","World 153","Points redeemed",-200,3803,"Account Manager 30"
"Jan 17, 2026 18:53","World 153","Premium Exchange",-12,4003,"Premium Exchange: Iron purchased (3039)"
"Jan 17, 2026 18:53","World 153","Premium Exchange",-15,4015,"Premium Exchange: Wood purchased (3193)"
"Jan 17, 2026 17:06","World 153","Points redeemed",-30,4030,"Reduce the construction cost -  - Farm (level 27)"
"Jan 17, 2026 16:03","World 153","Premium Exchange",-189,4060,"Premium Exchange: Wood purchased (28001)"
"Jan 17, 2026 16:03","World 153","Premium Exchange",-279,4249,"Premium Exchange: Clay purchased (35083)"
"Jan 17, 2026 16:02","World 153","Premium Exchange",-327,4528,"Premium Exchange: Iron purchased (38069)"
"Jan 17, 2026 15:55","World 153","Premium Exchange",-592,4855,"Premium Exchange: Iron purchased (93169)"
"Jan 17, 2026 15:55","World 153","Premium Exchange",-655,5447,"Premium Exchange: Clay purchased (100113)"
"Jan 17, 2026 15:55","World 153","Premium Exchange",-548,6102,"Premium Exchange: Wood purchased (100005)"
"Jan 17, 2026 14:11","World 153","Points redeemed",-30,6650,"Reduce the construction cost -  - Clay pit (level 26)"
"Jan 17, 2026 07:08","World 153","Premium Exchange",-145,6680,"Premium Exchange: Iron purchased (30054)"
"Jan 17, 2026 07:08","World 153","Premium Exchange",-229,6825,"Premium Exchange: Clay purchased (40041)"
"Jan 17, 2026 07:08","World 153","Premium Exchange",-214,7054,"Premium Exchange: Wood purchased (40002)"
"Jan 16, 2026 23:51","World 153","Points redeemed",-10,7268,"Construction time reduction - en153 - Timber camp (level 24)"
"Jan 16, 2026 21:55","World 153","Premium Exchange",-194,7278,"Premium Exchange: Iron purchased (40135)"
"Jan 16, 2026 21:55","World 153","Premium Exchange",-194,7472,"Premium Exchange: Clay purchased (40112)"
"Jan 16, 2026 21:55","World 153","Premium Exchange",-176,7666,"Premium Exchange: Wood purchased (40168)"
"Jan 16, 2026 21:46","World 153","Points redeemed",-30,7842,"Reduce the construction cost -  - Academy (level 1)"
"Jan 16, 2026 20:39","World 153","Premium Exchange",-607,7872,"Premium Exchange: Iron purchased (100086)"
"Jan 16, 2026 20:38","World 153","Premium Exchange",-762,8479,"Premium Exchange: Clay purchased (120024)"
"Jan 16, 2026 20:38","World 153","Premium Exchange",-684,9241,"Premium Exchange: Wood purchased (110088)"
"Jan 16, 2026 20:18","World 153","Points redeemed",-10,9925,"Construction time reduction - en153 - Smithy (level 20)"
"Jan 16, 2026 20:15","World 153","Premium Exchange",-108,9935,"Premium Exchange: Iron purchased (20102)"
"Jan 16, 2026 20:15","World 153","Premium Exchange",-108,10043,"Premium Exchange: Clay purchased (20114)"
"Jan 16, 2026 20:15","World 153","Premium Exchange",-109,10151,"Premium Exchange: Wood purchased (20169)"
"Jan 16, 2026 19:46","World 153","Points redeemed",-10,10260,"Construction time reduction - en153 - Smithy (level 17)"
"Jan 16, 2026 19:46","World 153","Points redeemed",-10,10270,"Construction time reduction - en153 - Smithy (level 18)"
"Jan 16, 2026 19:46","World 153","Points redeemed",-10,10280,"Construction time reduction - en153 - Smithy (level 19)"
"Jan 16, 2026 19:46","World 153","Points redeemed",-10,10290,"Construction time reduction - en153 - Smithy (level 20)"
"Jan 16, 2026 19:46","World 153","Points redeemed",-10,10300,"Construction time reduction - en153 - Smithy (level 20)"
"Jan 16, 2026 19:46","World 153","Points redeemed",-10,10310,"Construction time reduction - en153 - Smithy (level 17)"
"Jan 16, 2026 19:46","World 153","Points redeemed",-10,10320,"Construction time reduction - en153 - Smithy (level 18)"
"Jan 16, 2026 19:46","World 153","Points redeemed",-10,10330,"Construction time reduction - en153 - Smithy (level 19)"
"Jan 16, 2026 19:46","World 153","Points redeemed",-10,10340,"Construction time reduction - en153 - Smithy (level 20)"
"Jan 16, 2026 19:00","World 153","Points redeemed",-10,10350,"Construction time reduction - en153 - Smithy (level 20)"
"Jan 16, 2026 19:00","World 153","Points redeemed",-10,10360,"Construction time reduction - en153 - Smithy (level 19)"
"Jan 16, 2026 19:00","World 153","Points redeemed",-10,10370,"Construction time reduction - en153 - Smithy (level 18)"
"Jan 16, 2026 19:00","World 153","Points redeemed",-10,10380,"Construction time reduction - en153 - Smithy (level 17)"
"Jan 16, 2026 19:00","World 153","Points redeemed",-10,10390,"Construction time reduction - en153 - Smithy (level 17)"
"Jan 16, 2026 19:00","World 153","Points redeemed",-10,10400,"Construction time reduction - en153 - Smithy (level 18)"
"Jan 16, 2026 19:00","World 153","Points redeemed",-10,10410,"Construction time reduction - en153 - Smithy (level 19)"
"Jan 16, 2026 18:16","World 153","Points redeemed",-10,10420,"Construction time reduction - en153 - Smithy (level 16)"
"Jan 16, 2026 18:16","World 153","Points redeemed",-10,10430,"Construction time reduction - en153 - Smithy (level 15)"
"Jan 16, 2026 18:16","World 153","Points redeemed",-10,10440,"Construction time reduction - en153 - Smithy (level 14)"
"Jan 16, 2026 18:16","World 153","Points redeemed",-10,10450,"Construction time reduction - en153 - Smithy (level 16)"
"Jan 16, 2026 18:16","World 153","Points redeemed",-10,10460,"Construction time reduction - en153 - Smithy (level 15)"
"Jan 16, 2026 18:13","World 153","Points redeemed",-10,10470,"Construction time reduction - en153 - Smithy (level 15)"
"Jan 16, 2026 18:13","World 153","Points redeemed",-10,10480,"Construction time reduction - en153 - Smithy (level 16)"
"Jan 16, 2026 18:13","World 153","Points redeemed",-10,10490,"Construction time reduction - en153 - Smithy (level 16)"
"Jan 16, 2026 18:13","World 153","Points redeemed",-10,10500,"Construction time reduction - en153 - Smithy (level 15)"
"Jan 16, 2026 18:13","World 153","Points redeemed",-10,10510,"Construction time reduction - en153 - Smithy (level 14)"
